subject_id,Segments,Segment Costs,Condition
gave,asymmetric_parabolic_2,0.0633,ss
gave,t_turn,0.0573,ss
gave,asymmetric_parabolic_1,0.0943,ss
gave,spiral,0.0907,ss
gore,chicane,0.0652,ss
gore,triple_s,0.0564,ss
gore,symmetric_parabolic,0.0164,ss
gore,traffic_circle,0.0494,ss
gore,asymmetric_parabolic_2,0.0211,ss
gore,t_turn,0.0198,ss
gore,asymmetric_parabolic_1,0.0151,ss
gore,spiral,0.1006,ss
gray,chicane,0.0451,ss
gray,triple_s,0.069,ss
gray,symmetric_parabolic,0.0296,ss
gray,traffic_circle,0.0068,ss
gray,asymmetric_parabolic_2,0.026,ss
gray,t_turn,0.0203,ss
gray,asymmetric_parabolic_1,0.0149,ss
gray,spiral,0.0221,ss
hump,chicane,0.0031,ss
hump,triple_s,0.0368,ss
hump,symmetric_parabolic,0.0266,ss
hump,traffic_circle,0.0436,ss
hump,asymmetric_parabolic_2,0.0115,ss
hump,t_turn,0.0084,ss
hump,asymmetric_parabolic_1,0.0486,ss
hump,spiral,0.0197,ss
jury,chicane,0.0389,ss
jury,triple_s,0.0405,ss
jury,symmetric_parabolic,0.0344,ss
jury,traffic_circle,0.0162,ss
jury,asymmetric_parabolic_2,0.0203,ss
jury,t_turn,0.0087,ss
jury,asymmetric_parabolic_1,0.012,ss
jury,spiral,0.0266,ss
mud,chicane,0.0031,ss
mud,triple_s,0.0891,ss
mud,symmetric_parabolic,0.0205,ss
mud,traffic_circle,0.0257,ss
mud,asymmetric_parabolic_2,0.0311,ss
mud,t_turn,0.0115,ss
mud,asymmetric_parabolic_1,0.0417,ss
mud,spiral,0.0181,ss
outer,chicane,0.0063,ss
outer,triple_s,0.0675,ss
outer,symmetric_parabolic,0.0192,ss
outer,traffic_circle,0.033,ss
outer,asymmetric_parabolic_2,0.0176,ss
outer,t_turn,0.0122,ss
outer,asymmetric_parabolic_1,0.0435,ss
outer,spiral,0.0235,ss
ozone,chicane,0.0029,ss
ozone,triple_s,0.038,ss
ozone,symmetric_parabolic,0.0095,ss
ozone,traffic_circle,0.0157,ss
ozone,asymmetric_parabolic_2,0.0084,ss
ozone,t_turn,0.0066,ss
ozone,asymmetric_parabolic_1,0.031,ss
ozone,spiral,0.0099,ss
relax,chicane,0.0036,ss
relax,triple_s,0.0291,ss
relax,symmetric_parabolic,0.0056,ss
relax,traffic_circle,0.0099,ss
relax,asymmetric_parabolic_2,0.0162,ss
relax,t_turn,0.006,ss
relax,asymmetric_parabolic_1,0.0112,ss
relax,spiral,0.0192,ss
riot,chicane,0.0068,ss
riot,triple_s,0.0918,ss
riot,symmetric_parabolic,0.0303,ss
riot,traffic_circle,0.039,ss
riot,asymmetric_parabolic_2,0.0262,ss
riot,t_turn,0.0102,ss
riot,asymmetric_parabolic_1,0.0175,ss
riot,spiral,0.0188,ss
salon,chicane,0.0037,ss
salon,triple_s,0.0049,ss
salon,symmetric_parabolic,0.0082,ss
salon,traffic_circle,0.0102,ss
salon,asymmetric_parabolic_2,0.014,ss
salon,t_turn,0.009,ss
salon,asymmetric_parabolic_1,0.0206,ss
salon,spiral,0.0205,ss
unit,chicane,0.0562,ss
unit,triple_s,0.016,ss
unit,symmetric_parabolic,0.0275,ss
unit,traffic_circle,0.0142,ss
unit,asymmetric_parabolic_2,0.0244,ss
unit,t_turn,0.0084,ss
unit,asymmetric_parabolic_1,0.0353,ss
unit,spiral,0.0237,ss
upon,chicane,0.0062,ss
upon,triple_s,0.0379,ss
upon,symmetric_parabolic,0.0158,ss
upon,traffic_circle,0.0075,ss
upon,asymmetric_parabolic_2,0.0229,ss
upon,t_turn,0.0138,ss
upon,asymmetric_parabolic_1,0.0339,ss
upon,spiral,0.0266,ss
zebra,chicane,0.0529,ss
zebra,triple_s,0.0487,ss
zebra,symmetric_parabolic,0.0272,ss
zebra,traffic_circle,0.0661,ss
zebra,asymmetric_parabolic_2,0.0292,ss
zebra,t_turn,0.0495,ss
zebra,asymmetric_parabolic_1,0.0677,ss
zebra,spiral,0.0221,ss
arena,chicane,0.0275,sl
arena,triple_s,0.0369,sl
arena,symmetric_parabolic,0.0133,sl
arena,traffic_circle,0.0177,sl
arena,asymmetric_parabolic_2,0.0198,sl
arena,t_turn,0.0188,sl
arena,asymmetric_parabolic_1,0.0146,sl
arena,spiral,0.0219,sl
chain,chicane,0.032,sl
chain,triple_s,0.0944,sl
chain,symmetric_parabolic,0.1484,sl
chain,traffic_circle,0.0912,sl
chain,asymmetric_parabolic_2,0.0393,sl
chain,t_turn,0.0222,sl
chain,asymmetric_parabolic_1,0.046,sl
chain,spiral,0.022,sl
cloth,chicane,0.0576,sl
cloth,triple_s,0.057,sl
cloth,symmetric_parabolic,0.029,sl
cloth,traffic_circle,0.0281,sl
cloth,asymmetric_parabolic_2,0.0164,sl
cloth,t_turn,0.0059,sl
cloth,asymmetric_parabolic_1,0.0251,sl
cloth,spiral,0.0145,sl
crept,chicane,0.0076,sl
crept,triple_s,0.0909,sl
crept,symmetric_parabolic,0.0243,sl
crept,traffic_circle,0.078,sl
crept,asymmetric_parabolic_2,0.0181,sl
crept,t_turn,0.039,sl
crept,asymmetric_parabolic_1,0.0435,sl
crept,spiral,0.1254,sl
disk,chicane,0.0502,sl
disk,triple_s,0.0085,sl
disk,symmetric_parabolic,0.0094,sl
disk,traffic_circle,0.0127,sl
disk,asymmetric_parabolic_2,0.0476,sl
disk,t_turn,0.0089,sl
disk,asymmetric_parabolic_1,0.0359,sl
disk,spiral,0.0156,sl
elm,chicane,0.0077,sl
elm,triple_s,0.0055,sl
elm,symmetric_parabolic,0.0137,sl
elm,traffic_circle,0.0097,sl
elm,asymmetric_parabolic_2,0.0157,sl
elm,t_turn,0.0084,sl
elm,asymmetric_parabolic_1,0.0334,sl
elm,spiral,0.0032,sl
flask,chicane,0.0066,sl
flask,triple_s,0.04,sl
flask,symmetric_parabolic,0.0512,sl
flask,traffic_circle,0.0226,sl
flask,asymmetric_parabolic_2,0.0186,sl
flask,t_turn,0.0143,sl
flask,asymmetric_parabolic_1,0.0424,sl
flask,spiral,0.0218,sl
flip,chicane,0.0059,sl
flip,triple_s,0.0777,sl
flip,symmetric_parabolic,0.0115,sl
flip,traffic_circle,0.0067,sl
flip,asymmetric_parabolic_2,0.0205,sl
flip,t_turn,0.0137,sl
flip,asymmetric_parabolic_1,0.0411,sl
flip,spiral,0.0067,sl
game,chicane,0.1052,sl
game,triple_s,0.0541,sl
game,symmetric_parabolic,0.0206,sl
game,traffic_circle,0.0621,sl
game,asymmetric_parabolic_2,0.023,sl
game,t_turn,0.0068,sl
game,asymmetric_parabolic_1,0.0292,sl
game,spiral,0.013,sl
grab,chicane,0.0023,sl
grab,triple_s,0.0206,sl
grab,symmetric_parabolic,0.021,sl
grab,traffic_circle,0.0132,sl
grab,asymmetric_parabolic_2,0.0445,sl
grab,t_turn,0.0031,sl
grab,asymmetric_parabolic_1,0.0143,sl
grab,spiral,0.0031,sl
grant,chicane,0.0034,sl
grant,triple_s,0.0113,sl
grant,symmetric_parabolic,0.0155,sl
grant,traffic_circle,0.0573,sl
grant,asymmetric_parabolic_2,0.0104,sl
grant,t_turn,0.0036,sl
grant,asymmetric_parabolic_1,0.0117,sl
grant,spiral,0.0163,sl
guy,chicane,0.0938,sl
guy,triple_s,0.0781,sl
guy,symmetric_parabolic,0.02,sl
guy,traffic_circle,0.0296,sl
guy,asymmetric_parabolic_2,0.0728,sl
guy,t_turn,0.0348,sl
guy,asymmetric_parabolic_1,0.0463,sl
guy,spiral,0.0336,sl
jam,chicane,0.0116,sl
jam,triple_s,0.0185,sl
jam,symmetric_parabolic,0.0397,sl
jam,traffic_circle,0.0815,sl
jam,asymmetric_parabolic_2,0.1216,sl
jam,t_turn,0.038,sl
jam,asymmetric_parabolic_1,0.3847,sl
jam,spiral,0.1011,sl
line,chicane,0.0064,sl
line,triple_s,0.0619,sl
line,symmetric_parabolic,0.0191,sl
line,traffic_circle,0.0104,sl
line,asymmetric_parabolic_2,0.015,sl
line,t_turn,0.009,sl
line,asymmetric_parabolic_1,0.0107,sl
line,spiral,0.017,sl
marry,chicane,0.0768,sl
marry,triple_s,0.0924,sl
marry,symmetric_parabolic,0.0377,sl
marry,traffic_circle,0.0257,sl
marry,asymmetric_parabolic_2,0.1144,sl
marry,t_turn,0.0355,sl
marry,asymmetric_parabolic_1,0.0913,sl
marry,spiral,0.0913,sl
ounce,chicane,0.0137,sl
ounce,triple_s,0.0073,sl
ounce,symmetric_parabolic,0.0318,sl
ounce,traffic_circle,0.0089,sl
ounce,asymmetric_parabolic_2,0.0263,sl
ounce,t_turn,0.0158,sl
ounce,asymmetric_parabolic_1,0.0251,sl
ounce,spiral,0.018,sl
river,chicane,0.0426,sl
river,triple_s,0.1109,sl
river,symmetric_parabolic,0.0233,sl
river,traffic_circle,0.1136,sl
river,asymmetric_parabolic_2,0.0343,sl
river,t_turn,0.0342,sl
river,asymmetric_parabolic_1,0.0438,sl
river,spiral,0.1849,sl
roar,chicane,0.0849,sl
roar,triple_s,0.0625,sl
roar,symmetric_parabolic,0.0086,sl
roar,traffic_circle,0.0171,sl
roar,asymmetric_parabolic_2,0.0181,sl
roar,t_turn,0.0133,sl
roar,asymmetric_parabolic_1,0.0127,sl
roar,spiral,0.0124,sl
shred,chicane,0.0168,sl
shred,triple_s,0.0812,sl
shred,symmetric_parabolic,0.0462,sl
shred,traffic_circle,0.0525,sl
shred,asymmetric_parabolic_2,0.0304,sl
shred,t_turn,0.0146,sl
shred,asymmetric_parabolic_1,0.0427,sl
shred,spiral,0.0192,sl
spoon,chicane,0.0062,sl
spoon,triple_s,0.025,sl
spoon,symmetric_parabolic,0.0197,sl
spoon,traffic_circle,0.0327,sl
spoon,asymmetric_parabolic_2,0.008,sl
spoon,t_turn,0.0309,sl
spoon,asymmetric_parabolic_1,0.0344,sl
spoon,spiral,0.0061,sl
